rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
195	NCT02007798	0.64417964	0.35341986	0.9975995	275	True
196	NCT05422521	0.4538377	0.54027644	0.99411414	185	True
197	NCT04591028	0.40472242	0.58866076	0.99338318	159	True
198	NCT06391918	0.4029689	0.58775443	0.99072333	160	True
199	NCT01963715	0.39921814	0.58948465	0.98870279	158	True
200	NCT06452160	0.4068262	0.5805871	0.9874133	163	True
201	NCT03639181	0.581509	0.40569471	0.98720371	243	True
202	NCT02437318	0.4930083	0.49289013	0.98589843	206	True
203	NCT05361720	0.5296029	0.45591982	0.98552272	224	True
204	NCT06328699	0.42685428	0.55703481	0.98388909	174	True
205	NCT03083613	0.6159383	0.36611838	0.98205668	268	True
206	NCT02444819	0.50283945	0.47749637	0.98033582	216	True
207	NCT06022770	0.4308621	0.5491818	0.9800439	179	True
208	NCT03766776	0.62168664	0.35571303	0.97739967	272	True
209	NCT02800473	0.3973624	0.57695506	0.97431746	164	True
210	NCT04260360	0.3846056	0.58764501	0.97225061	161	True
211	NCT01307618	0.37953782	0.5905576	0.97009542	156	True
212	NCT04040699	0.3852784	0.58265946	0.96793786	162	True
213	NCT05655078	0.41977644	0.54815631	0.96793275	182	True
214	NCT04339829	0.44872606	0.51255999	0.96128605	199	True
215	NCT06088888	0.42663953	0.53263799	0.95927752	189	True
216	NCT01624025	0.47159496	0.48724626	0.95884122	210	True
217	NCT02006927	0.4248359	0.53313449	0.95797039	188	True
218	NCT05749211	0.4005432	0.55576088	0.95630408	177	True
219	NCT06131775	0.3927576	0.56192352	0.95468112	171	True
220	NCT03435302	0.3985945	0.55605459	0.95464909	176	True
221	NCT04274816	0.4009557	0.5531197	0.9540754	178	True
222	NCT04758000	0.5892838	0.36452171	0.95380551	269	True
223	NCT04202640	0.40285733	0.54908297	0.9519403	180	True
224	NCT06244992	0.6317371	0.31813553	0.94987263	291	True
225	NCT05397457	0.4063198	0.53925716	0.94557696	186	True
226	NCT01887067	0.9429175	0	0.9429175		True
