nct_id	score
NCT02570165	0.48445448
NCT01468675	0.48374382
NCT02756962	0.48358727
NCT02681302	0.48208007
NCT01315483	0.48025593
NCT00426413	0.47933698
NCT00822094	0.47407416
NCT01624025	0.47159496
NCT03361709	0.46971396
NCT04481256	0.46827292
NCT04801797	0.46039045
NCT02997787	0.45828623
NCT02760225	0.45790634
NCT01145456	0.4571635
NCT02811900	0.45604405
NCT00652379	0.4557961
NCT03086642	0.4557351
NCT05422521	0.4538377
NCT04286451	0.4514068
NCT01600807	0.44959253
NCT00524888	0.4495195
NCT00589368	0.44895327
NCT04339829	0.44872606
NCT01769820	0.44851685
NCT05720338	0.44701117
NCT00088699	0.44461906
NCT01077193	0.44444734
NCT03875300	0.44437313
NCT00701259	0.4428044
NL64722.031.18	0.4422847
NCT05968144	0.44152477
NCT03798457	0.44091177
NCT00523666	0.4403425
NCT04061733	0.43999347
NCT04682158	0.43991575
NCT00147290	0.439653
NCT05515978	0.43948883
NCT01047111	0.4387823
NCT03670719	0.43832207
NCT00132327	0.43823192
NCT06376344	0.43751305
NCT03081897	0.4373194
NCT06236360	0.43674868
NCT01401647	0.43601114
NCT02125513	0.43571037
NCT02522611	0.43509114
NCT03796052	0.43460253
NCT01186939	0.43453437
NCT04985734	0.4334488
NCT02628808	0.43315098
NCT04743505	0.43310988
NCT02142959	0.4329906
NCT00005837	0.43186724
NCT02989012	0.43167752
NCT02060487	0.43148333
NCT03726658	0.43132192
NCT02650622	0.43122998
NCT06022770	0.4308621
NCT05749042	0.4303944
NCT05243797	0.4299531
NCT03215030	0.4299531
NCT02056756	0.4299531
NCT06152367	0.4296463
NCT01334801	0.42886794
NCT05493683	0.428522
NCT04756778	0.42788535
NCT01700673	0.42703962
NCT06328699	0.42685428
NCT02592447	0.42663953
NCT06088888	0.42663953
NCT04872478	0.426573
NCT05499715	0.42650208
NCT04429191	0.4263178
NCT05969184	0.42628178
NCT03017716	0.42516172
NCT01142466	0.42498058
NCT02006927	0.4248359
NCT02066493	0.4244656
NCT04464811	0.42332298
NCT04417608	0.42264876
NCT04428463	0.42249924
NCT05048498	0.4220068
NCT02251665	0.42197296
NCT05717140	0.42189723
NCT02582996	0.42155606
NCT04034641	0.421516
NCT01921504	0.42045963
NCT03788499	0.42024368
NCT05655078	0.41977644
NCT01547494	0.4195974
NCT01231594	0.41922468
NCT02936817	0.41899538
NCT02514915	0.41890442
NCT01522976	0.41874728
NCT01448850	0.41854635
NCT00966459	0.41854635
NCT06133426	0.41851795
NCT04674293	0.41827637
NCT04368195	0.41795316
NCT03173638	0.41793084
NCT04017728	0.4173275
NCT04434443	0.4172114
NCT01721343	0.417203
NCT02408523	0.41691023
NCT04795128	0.4167462
NCT01491165	0.4167345
NCT03216031	0.4167096
NCT05283577	0.41628328
NCT04396912	0.41625285
NCT03574207	0.41622105
NCT01468623	0.4160682
NCT04623580	0.41544878
NCT02679066	0.41527468
NCT01349556	0.41522515
NCT02465528	0.41472763
NCT00893789	0.41448677
NCT05170828	0.414118
NCT03190551	0.41408238
NCT03388021	0.41406095
NCT05299411	0.41391814
NCT03768492	0.41369176
NCT04182893	0.41363204
NCT03872206	0.41354993
NCT04165993	0.41348034
NCT03184090	0.41348034
NCT01655992	0.41348034
NCT01113333	0.41347706
NCT02892058	0.41347706
NCT02623712	0.41300774
NCT04569422	0.4128973
NCT05675813	0.41279814
NCT00867828	0.41276667
NCT04358445	0.41253427
NCT02705937	0.4125234
NCT04725188	0.4124833
NCT03243955	0.41246787
NCT03768310	0.41236556
NCT03403387	0.4122768
NCT01539291	0.41223806
NCT00533650	0.41216463
NCT00850408	0.41211003
NCT04241848	0.41211003
NCT04077073	0.41211003
NCT05923177	0.41201067
NCT00320424	0.41179863
NCT03027739	0.4117828
NCT02807883	0.4117828
NCT01465841	0.41170013
NCT00323609	0.41163662
NCT03719131	0.41138768
NCT02484638	0.41133338
NCT03427684	0.41122904
NCT03745794	0.41111624
NCT03351725	0.41108727
NCT05597683	0.4109599
NCT06363773	0.41095752
NCT01957020	0.41094342
NCT02451124	0.41086656
NCT03877601	0.41086656
NCT04973293	0.41081297
NCT02316340	0.41069907
NCT05502666	0.41069907
NCT01274143	0.41069907
NCT02117557	0.41069907
NCT02000180	0.41069907
NCT04013841	0.41069907
NCT00619957	0.41063786
NCT06407037	0.41058117
NCT05546372	0.4105551
NCT03996408	0.41038
NCT04730765	0.41029257
NCT05084027	0.41024214
NCT03570905	0.41016504
NCT01800799	0.41012096
NCT02892188	0.41004175
NCT03181815	0.4098658
NCT05917431	0.40984935
NCT02321696	0.40980113
NCT02153034	0.409756
NCT03728036	0.40973502
NCT05322330	0.40951216
NCT04964284	0.40945512
NCT04109937	0.40944824
NCT03368976	0.4094419
NCT03267433	0.4093395
NCT01962610	0.40916717
NCT01110447	0.40909296
NCT05629845	0.40907085
NCT03516500	0.4089775
NCT03480958	0.4089654
NCT03234855	0.40883696
NCT01195766	0.4087956
NCT05440760	0.40878326
NCT02093143	0.40867513
NCT04115826	0.40866202
NCT01663675	0.40859705
NCT03867045	0.40854347
NCT04887025	0.4084677
NCT01264432	0.40842324
NCT02174887	0.40834087
NCT01753479	0.40834087
NCT02513784	0.40833265
NCT04201002	0.40832597
NCT03557879	0.40832353
NCT04892966	0.40831286
NCT00833794	0.4081453
NCT00839306	0.40800995
NCT02712138	0.40799582
NCT01752205	0.40799373
NCT02985528	0.40798795
NCT01510002	0.40797043
NCT03074942	0.40785778
NCT04644835	0.40780354
NCT02553174	0.4077543
NCT04853589	0.40773174
NCT01444547	0.40766358
NCT02749513	0.40766358
NCT01317212	0.40757582
NCT02206308	0.40747967
NCT03564821	0.4073769
NCT03977077	0.4069866
NCT00680901	0.40695584
NCT05131776	0.40687436
NCT04159870	0.40684167
NCT04318561	0.4068388
NCT06452160	0.4068262
NCT02647021	0.40680516
NCT04002089	0.40680033
NCT00689169	0.40675366
NCT01803113	0.40674317
NCT00444236	0.40659732
NCT03601533	0.40650922
NCT00075439	0.40641907
NCT05555199	0.4063579
NCT05397457	0.4063198
NCT04088786	0.40631455
NCT02392676	0.4062851
NCT04174950	0.4061956
NCT00581126	0.40612802
NCT01644253	0.40609348
NCT00282191	0.40598124
NCT00498537	0.40581524
NCT04995523	0.4057752
NCT04582487	0.4057476
NCT00367588	0.40550274
NCT02487992	0.40547132
NCT03291379	0.4054371
NCT03595813	0.40526152
NCT01849744	0.40508765
NCT01169038	0.4050851
NCT06406556	0.40506265
NCT04422184	0.40498996
NCT02847767	0.4049256
NCT02069041	0.4049256
NCT03662841	0.4049256
NCT00039377	0.4048492
NCT01156818	0.40484613
NCT02278510	0.40483087
NCT02565641	0.40479076
NCT03038477	0.40479076
NCT01376414	0.40475273
NCT02341170	0.4047413
NCT05622357	0.4047404
NCT02916199	0.40472418
NCT04591028	0.40472242
NCT00514020	0.40472242
NCT05435248	0.4046266
NCT01630226	0.4045396
NCT04861220	0.4044391
NCT00651768	0.40441325
NCT01012739	0.40441325
NCT02682862	0.40441325
NCT00182481	0.40441325
NCT01509183	0.40441325
NCT03252899	0.404397
NCT04483830	0.4041452
NCT03537001	0.40405476
NCT05433701	0.40400103
NCT02537158	0.40400103
NCT01676194	0.40400103
NCT03370913	0.40398538
NCT03427346	0.4039762
NCT04104893	0.4039741
NCT02795429	0.40396878
NCT05653622	0.40393007
NCT04012658	0.40391296
NCT00199355	0.40390414
NCT03043872	0.4038993
NCT03022110	0.40386084
NCT04778384	0.4038428
NCT02165995	0.40378436
NCT04707001	0.4037014
NCT01362296	0.4036972
NCT05626322	0.40364122
NCT02577172	0.40361208
NCT02827838	0.40358496
NCT04408638	0.403539
NCT00294463	0.40347144
NCT00787189	0.4032535
NCT02583763	0.40324885
NCT02434575	0.4032285
NCT01214655	0.40322286
NCT00886327	0.40319055
NCT05348187	0.40313208
NCT03596593	0.40310583
NCT06297525	0.40310583
NCT06166888	0.40310583
NCT02253524	0.40307927
NCT06391918	0.4029689
