nct_id	score
NCT00023764	0.6524501
NCT00003292	0.651481
NCT00006155	0.65119845
NCT00002619	0.6503586
NCT00001830	0.64994663
NCT00005123	0.6499228
NCT00001460	0.64966
NCT00003881	0.64950866
NCT00027794	0.6484021
NCT00003719	0.6477488
NCT00036790	0.6467444
NCT00030355	0.6459686
NCT00027209	0.6450923
NCT00006088	0.644912
NCT00029315	0.64434636
NCT00006083	0.6442188
NCT00007319	0.6432905
NCT00005849	0.6421132
NCT00040937	0.6417681
NCT00006104	0.6412019
NCT00002616	0.6412019
NCT00009659	0.6398485
NCT00004416	0.6380379
NCT00020267	0.63617355
NCT00005108	0.63534504
NCT00005202	0.6348834
NCT00017394	0.63405067
NCT00006721	0.6338448
NCT00005436	0.6328598
NCT00001625	0.6323761
NCT00003896	0.63077974
NCT00001890	0.62928015
NCT00001750	0.6289008
NCT00004728	0.62827504
NCT00021372	0.62619495
NCT00003128	0.6261765
NCT00003816	0.6260211
NCT00045981	0.6251795
NCT00000801	0.6244808
NCT00032019	0.62442404
NCT00003853	0.6238505
NCT00006695	0.6235226
NCT00004866	0.6220595
NCT00001909	0.621789
NCT00004017	0.620866
NCT00000525	0.6207516
NCT00001774	0.6183276
NCT00004248	0.61746174
NCT00001532	0.6165132
NCT00032643	0.6140232
NCT00001527	0.6133097
NCT00006379	0.61232346
NCT00003137	0.6110979
NCT00001270	0.6103785
NCT00019110	0.6086725
NCT00002791	0.60846823
NCT00000555	0.60766184
NCT00003416	0.6073495
NCT00009984	0.606888
NCT00001529	0.60671854
NCT00001669	0.6055853
NCT00001203	0.60408795
NCT00021255	0.60286075
NCT00001437	0.60241073
NCT00004268	0.6017846
NCT00035815	0.6014123
NCT00017550	0.5982142
NCT00004805	0.5974376
NCT00001965	0.59714854
NCT00002548	0.59709775
NCT00005090	0.5947206
NCT00001384	0.5946802
NCT00039832	0.59266204
NCT00001338	0.5925381
NCT00007475	0.5924509
NCT00000518	0.5920763
NCT00005251	0.59019756
NCT00000461	0.58765906
NCT00007345	0.5872446
NCT00022048	0.5871136
NCT00002783	0.5865432
NCT00005793	0.5863198
NCT00009997	0.58467805
NCT00005203	0.5842151
NCT00005786	0.58405983
NCT00005005	0.5831843
NCT00001458	0.58238256
NCT00003782	0.5820648
NCT00005655	0.5808563
NCT00006124	0.5798091
NCT00002967	0.5795225
NCT00014430	0.57929957
NCT00013156	0.5787907
NCT00000769	0.5781408
NCT00016094	0.5775949
NCT00000598	0.5763911
NCT00003677	0.57616365
NCT00003780	0.57616365
NCT00003364	0.57594746
NCT00008112	0.5756689
NCT00027027	0.5752577
NCT00005210	0.5752201
NCT00006263	0.5743372
NCT00003013	0.57423013
NCT00003253	0.57423013
NCT00004826	0.57372063
NCT00002138	0.57277316
NCT00002342	0.57277316
NCT00002136	0.57277316
NCT00002137	0.57277316
NCT00003995	0.5727594
NCT00021567	0.57156026
NCT00004099	0.571309
NCT00003992	0.5694439
NCT00017472	0.5679056
NCT00001836	0.56774396
NCT00004364	0.5675519
NCT00006068	0.56718355
NCT00021580	0.56718355
NCT00005829	0.5668259
NCT00001606	0.5664734
NCT00001759	0.5639139
NCT00001640	0.56312424
NCT00002835	0.56296414
NCT00003388	0.56296414
NCT00002879	0.56296414
NCT00006159	0.56196177
NCT00006472	0.5613714
NCT00004900	0.560631
NCT00005808	0.5594551
NCT00003797	0.5584986
NCT00001596	0.5575501
NCT00016367	0.5572789
NCT00011960	0.5570565
NCT00004738	0.5567652
NCT00004806	0.5567519
NCT00003612	0.55656517
NCT00001337	0.555165
NCT00001776	0.55496776
NCT00021645	0.5544306
NCT00001716	0.55372876
NCT00000362	0.55341923
NCT00001266	0.55290127
NCT00003829	0.5524901
NCT00019084	0.5522146
NCT00034281	0.5520067
NCT00019331	0.5514958
NCT00005938	0.55131066
NCT00005536	0.5510946
NCT00005129	0.5510503
NCT00034346	0.55091816
NCT00005625	0.55082786
NCT00008177	0.55082077
NCT00020761	0.5489293
NCT00027586	0.54865336
NCT00001985	0.54792255
NCT00006278	0.5479146
